city,country,country_norm_x,lat,lon,crime_index,safety_index,crimeindex_2023,crimeindex_2020,safetyindex_2020,age_0_14,age_15_64,age_65_plus,population,density_per_km2,num_cities_25km,sum_pop_25km,pop_gravity_25km,num_cities_50km,sum_pop_50km,pop_gravity_50km,num_cities_100km,sum_pop_100km,pop_gravity_100km,dist_to_nearest_large_city,pop_of_nearest_large_city,dist_nearest_labeled_city,crime_nearest_labeled_city,safety_nearest_labeled_city,same_country_as_nearest_labeled,avg_crime_k3,avg_safety_k3,avg_crime_k5,avg_safety_k5,avg_crime_k10,avg_safety_k10,wavg_crime_k5,wavg_safety_k5,num_labeled_within_50km,num_labeled_within_100km,num_labeled_within_250km,avg_crime_same_country_k5,avg_safety_same_country_k5,num_same_country_within_250km,log1p_sum_pop_25km,log1p_pop_gravity_25km,log1p_sum_pop_50km,log1p_pop_gravity_50km,log1p_sum_pop_100km,log1p_pop_gravity_100km,log1p_pop_of_nearest_large_city,log1p_num_cities_25km,log1p_num_cities_50km,log1p_num_cities_100km,log1p_num_labeled_within_50km,log1p_num_labeled_within_100km,log1p_num_labeled_within_250km,log1p_num_same_country_within_250km,log1p_dist_to_nearest_large_city,log1p_dist_nearest_labeled_city,sum_pop_50km_country_z,sum_pop_100km_country_z,pop_gravity_50km_country_z,pop_gravity_100km_country_z,dist_to_nearest_large_city_country_z,country_for_macro,country_for_macro_norm,country_norm_y,gdp,gdp_per_capita,unemployment,homicide_rate,life_expectancy_male,life_expectancy_female,infant_mortality,urban_population_growth,tourists
Port Elizabeth,South Africa,south africa,-33.9618598,25.6186731,76.9,23.1,76.86,77.49,22.51,29.0,65.7,5.0,58775022.0,48.0,4,1201922.0,309290.25,5,1305561.0,309408.21875,10,1397269.0,309426.5,1.7722671031951904,967677.0,541.7476806640625,71.31999969482422,28.68000030517578,1,75.3066635131836,24.693334579467773,77.7239990234375,22.2760009765625,70.08399963378906,29.916000366210938,76.95365905761719,23.04633140563965,0,0,0,77.7239990234375,22.2760009765625,0,13.9994333321252,12.642038668586611,14.082144157376252,12.642420012249298,14.150030890860242,12.642479094877888,13.782654666292116,1.6094379124341005,1.791759469228055,2.3978952727983707,0.0,0.0,0.0,0.0,1.0196654342595866,6.296644535444917,-0.6373191330264325,-0.7838695065011994,-0.4176703905062743,-0.4176705840784199,-0.4063258022941725,South Africa,south africa,south africa,368094.0,6369.2,28.5,36.4,60.2,67.1,27.2,2.2,10472.0
Salvador,Brazil,brazil,-12.9822499,-38.4812772,76.6,23.4,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,5,2674826.0,1539488.25,13,3081741.0,1539771.25,45,4651396.0,1540037.625,1.252440094947815,2417678.0,673.9737548828125,76.4000015258789,23.600000381469727,1,66.44000244140625,33.55999755859375,68.06400299072266,31.935998916625977,67.76200103759766,32.237998962402344,68.17696380615234,31.82303810119629,0,0,0,68.06400299072266,31.935998916625977,0,14.799395263323666,14.246961263535692,14.941005579482756,14.247145073842676,15.352678162550978,14.247318055244117,14.698318547001806,1.791759469228055,2.6390573296152584,3.828641396489095,0.0,0.0,0.0,0.0,0.8120141152289756,6.514673808461526,-0.3678582744663701,-0.4246156158130642,-0.3259744421126181,-0.3259746336666319,-0.4133140293404497,Brazil,brazil,brazil,1868613.0,8920.7,12.0,27.4,71.9,79.3,13.0,1.2,6621.0
Recife,Brazil,brazil,-8.0584933,-34.8848193,76.4,23.6,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,8,3155742.0,3264653.0,22,3988230.0,3265349.75,74,5423898.0,3265636.75,0.6758772730827332,1488920.0,253.0609588623047,77.19999694824219,22.799999237060547,1,77.03333282470703,22.96666717529297,68.10400390625,31.895999908447266,67.78199768066406,32.21799850463867,73.57089233398438,26.42911148071289,0,0,0,68.10400390625,31.895999908447266,0,14.964734525439471,14.998664342642275,15.198858332157664,14.99887774218158,15.506325487485045,14.998965630868012,14.213562254516532,2.19722457733622,3.1354942159291497,4.31748811353631,0.0,0.0,0.0,0.0,0.5163367732944426,5.537574233745104,-0.2646430188832072,-0.3661457753032569,-0.3249785880600144,-0.3249787677669081,-0.4157825577945711,Brazil,brazil,brazil,1868613.0,8920.7,12.0,27.4,71.9,79.3,13.0,1.2,6621.0
Port of Spain,Trinidad And Tobago,trinidad and tobago,10.6572678,-61.5180173,76.2,23.8,73.19,73.19,26.81,20.7,69.3,10.0,1363985.0,265.0,9,342489.0,78180.171875,20,687597.0,78486.59375,26,773172.0,78514.4765625,208.2713165283203,647459.0,590.1002807617188,83.5999984741211,16.399999618530273,0,73.06666564941406,26.933334350585938,68.08000183105469,31.920001983642575,63.52999877929688,36.46999740600586,71.57290649414062,28.427095413208008,0,0,0,68.08000183105469,31.920001983642575,0,12.743997739177882,11.266784128682032,13.44095964381877,11.270695849879369,13.558258105892842,11.27105103800069,13.380812294585834,2.302585092994046,3.044522437723423,3.295836866004329,0.0,0.0,0.0,0.0,5.34363157528416,6.381985682811972,0.0,0.0,0.0,0.0,0.0,Trinidad And Tobago,trinidad and tobago,trinidad and tobago,23808.0,17130.3,2.8,30.6,70.7,76.0,22.0,0.2,375.0
Baltimore,MD,md,39.2908816,-76.610759,75.5,24.5,47.81,47.2,52.8,18.9,65.7,15.0,329470935.0,34.0,43,3429983.0,848305.9375,104,4817950.0,849296.625,272,14743760.0,851889.1875,1.6116015911102295,2189589.0,0.0,75.75,24.25,1,65.09333038330078,34.90666580200195,64.76599884033203,35.23400115966797,55.46099853515625,44.53900146484375,75.74928283691406,24.250713348388672,1,3,6,64.76599884033203,35.23400115966797,6,15.048066154408213,13.650997803883334,15.387859291910136,13.652164963343608,16.50633056821669,13.655212909593894,14.599224869653968,3.784189633918261,4.653960350157523,5.60947179518496,0.6931471805599453,1.3862943611198906,1.9459101490553128,1.9459101490553128,0.9599636695774484,0.0,-0.1365415201001004,0.6877373192272108,-0.0143397849233783,-0.0139048210851901,-0.2219103671598894,MD,md,,20580223.0,62917.9,3.9,5.0,76.3,81.3,5.8,0.9,79746.0
Rosario,Argentina,argentina,-32.9593609,-60.6617024,75.2,24.8,63.82,61.77,38.23,24.9,63.9,11.0,44938712.0,16.0,9,1713560.0,294029.875,14,1847205.0,294122.53125,23,2159689.0,294196.78125,2.0909066200256348,1276000.0,278.9005432128906,63.29999923706055,36.70000076293945,1,60.10000228881836,39.89999771118164,58.62000274658203,41.380001068115234,61.54999923706055,38.45000457763672,59.812774658203125,40.18722534179688,0,0,0,62.25,37.75,0,14.354084219312988,12.591440057813722,14.429184785176524,12.591755132392036,14.58547525084206,12.592007545482694,14.059241526585623,2.302585092994046,2.70805020110221,3.1780538303479458,0.0,0.0,0.0,0.0,1.1284644524140002,5.634434337258684,-0.6014013244962975,-0.5949782067394298,-0.5785797457491155,-0.5785797804618694,1.0318876703114763,Argentina,argentina,argentina,518475.0,11687.6,10.4,5.3,73.0,79.8,10.2,1.2,6942.0
Alice Springs,Australia,australia,-23.6983884,133.8812885,74.8,25.2,43.03,41.36,58.64,19.0,65.5,16.0,25649909.0,3.0,1,23726.0,17518.693359375,1,23726.0,17518.693359375,1,23726.0,17518.693359375,1329.2996826171875,1387290.0,1290.094970703125,60.400001525878906,39.59999847412109,1,49.633331298828125,50.36666870117188,55.63999557495117,44.36000442504883,51.06000518798828,48.93999481201172,54.98412704467773,45.015872955322266,0,0,0,55.63999557495117,44.36000442504883,0,10.074368919187528,9.771080862018437,10.074368919187528,9.771080862018437,10.074368919187528,9.771080862018437,14.142863482626163,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,7.193159521109953,7.163245951814961,-0.6318887499717201,-0.8710601311315456,-0.2382351791365647,-0.2382351926390457,1.7082651586619753,Australia,australia,australia,1453871.0,58392.7,5.3,0.9,81.2,85.2,3.1,1.6,9246.0
Memphis,TN,tn,35.1460249,-90.0517638,74.8,25.2,47.81,47.2,52.8,18.9,65.7,15.0,329470935.0,34.0,6,1210333.0,13769.7919921875,15,1426430.0,14006.4716796875,22,1585019.0,14027.3798828125,8.810835838317871,1033394.0,0.0,74.76000213623047,25.239999771118164,1,64.0666732788086,35.93333435058594,63.99199676513672,36.007999420166016,63.69400024414063,36.305999755859375,74.75985717773438,25.240142822265625,1,1,1,63.74399948120117,36.25600051879883,1,14.00640691254066,9.530305105841244,14.17068607832912,9.547346157641035,14.276107583510438,9.548837691219358,13.848360056425994,1.9459101490553128,2.772588722239781,3.1354942159291497,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.283487472630489,0.0,-0.6255213117238759,-0.7047049129886969,-0.1879039343221242,-0.1879977248628141,-0.2097002451995045,TN,tn,,20580223.0,62917.9,3.9,5.0,76.3,81.3,5.8,0.9,79746.0
Detroit,MI,mi,42.3315509,-83.0466403,74.1,25.9,47.81,47.2,52.8,18.9,65.7,15.0,329470935.0,34.0,36,5172208.0,79826.46875,63,6222648.0,80875.0625,85,7951589.0,81202.921875,7.364173889160156,3716929.0,0.0,74.62999725341797,25.3700008392334,1,61.37666702270508,38.62333297729492,60.30400466918945,39.69600296020508,52.40999603271485,47.59000396728516,74.6258773803711,25.37411499023437,2,2,6,58.83999633789063,41.15999984741211,3,15.458810427956886,11.287622944132623,15.64370625829678,11.300673169274864,15.88888246663318,11.304718823936614,15.128408616710344,3.610917912644224,4.158883083359672,4.454347296253507,1.0986122886681098,1.0986122886681098,1.9459101490553128,1.3862943611198906,2.123957571541589,0.0,0.065983877165531,-0.0310020912401092,-0.1740093732033489,-0.1740398322104271,-0.2121538282096024,MI,mi,,20580223.0,62917.9,3.9,5.0,76.3,81.3,5.8,0.9,79746.0
Cape Town,South Africa,south africa,-33.9288301,18.4172197,73.6,26.4,76.86,77.49,22.51,29.0,65.7,5.0,58775022.0,48.0,3,5200260.0,8906187.0,6,5716170.0,8906834.0,15,6311860.0,8906987.0,0.7309001088142395,4770313.0,664.1649169921875,76.9000015258789,23.100000381469727,1,67.96333312988281,32.03666687011719,70.63800048828125,29.36199951171875,70.41400909423828,29.58600234985352,71.5750732421875,28.424922943115234,0,0,0,78.38399505615234,21.61600112915039,0,15.464219374599756,16.002256874005457,15.558809733609612,16.00232951748661,15.657941119719109,16.00234669515813,15.377922688790193,1.3862943611198906,1.9459101490553128,2.772588722239781,0.0,0.0,0.0,0.0,0.5486415673159137,6.500035005387033,0.3371344561302887,-0.1058731678970982,-0.4118521201288467,-0.4118522282061259,-0.4135279004443954,South Africa,south africa,south africa,368094.0,6369.2,28.5,36.4,60.2,67.1,27.2,2.2,10472.0
