feature_set_name,hidden_sizes,dropout,lr,weight_decay,optimizer,scheduler,batch_size,activation,loss_name,use_batchnorm,seed,block,run_id,n_features,uses_crime,uses_safety,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,elapsed_sec,best_epoch,feature_list
geo_macro_plus_city_crime_only,"(256, 128, 64)",0.35,0.0003,0.0001,adam,cosine,256,relu,mse,False,42,block2_mixed_feature_sets,1924,13,1,0,8.519298173640324,10.720793121809857,0.5200373827446071,7.790141078669851,9.983770277774077,0.49881545435839403,8.41819257923201,10.817981494071242,0.519309239164967,8.644595861434937,678,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(512, 256)",0.25,0.001,0.0005,adamw,plateau,256,gelu,smooth_l1,False,62,block2_mixed_feature_sets,554,13,1,0,7.25741636305589,9.741676830981126,0.6037027868486126,7.058709881480147,9.019459211311267,0.5909564870819424,8.429771555732277,10.820771717554294,0.5190612432484638,5.352066516876221,286,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
crime_only_subset,"(512, 256)",0.2,0.0005,0.0005,adam,plateau,256,relu,mse,False,52,block2_mixed_feature_sets,800,2,1,0,7.545459189077524,10.024490559500554,0.5803587189306462,6.845286123694443,9.155860818015913,0.5784909767119513,8.406957203734155,10.821518249291318,0.5189948804344406,4.766624450683594,270,crimeindex_2020 | crimeindex_2023
crime_only_subset,"(128, 128)",0.1,0.001,0.0001,adam,plateau,256,relu,mse,False,62,block2_mixed_feature_sets,1644,2,1,0,7.537464278470552,9.992280596893439,0.5830511080483365,6.825672508797995,9.03366057701715,0.5896673743823255,8.453228924321191,10.822328475756004,0.5189228503073963,4.859807968139648,432,crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(256, 256)",0.3,0.0007,0.002,adam,cosine,128,relu,mse,True,52,block2_mixed_feature_sets,1191,13,1,0,7.081238438298152,9.417971093384319,0.6296022942042954,7.564165414949743,9.582780550996702,0.5382662742507858,8.363833954754996,10.822598127136128,0.5188988767727258,6.446849346160889,359,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
all_without_current_crime_only,"(512, 256)",0.2,0.0005,0.0001,adam,plateau,64,gelu,smooth_l1,False,52,block2_mixed_feature_sets,1106,44,1,1,4.729060576218825,7.05891239730845,0.7919205619728354,6.800627393024723,8.639020554071546,0.6247354618375354,7.629848756229176,10.823927799178426,0.5187806526636962,5.877808332443237,197,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
crime_only_subset,"(512, 256)",0.25,0.001,0.0005,adam,plateau,64,relu,smooth_l1,False,42,block2_mixed_feature_sets,603,2,1,0,7.520157713904748,10.013436837420022,0.5812836618275468,6.799943315459462,9.006476065247382,0.592133242650547,8.438323925990684,10.824187851299437,0.5187575291511268,3.9655067920684814,135,crimeindex_2020 | crimeindex_2023
geo_knn_density_macro,"(128, 128, 64)",0.3,0.0003,0.001,adam,plateau,64,gelu,smooth_l1,False,52,block2_mixed_feature_sets,1025,37,1,1,6.305291546396109,8.684514791021462,0.6850477609781593,6.607828951579768,8.494788064500506,0.6371612951428072,8.26304609186509,10.827417455315517,0.5184703104694153,8.955407619476318,400,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
crime_only_subset,"(128, 128)",0.25,0.0005,0.001,adamw,plateau,64,relu,mse,False,52,block2_mixed_feature_sets,1322,2,1,0,7.7184297466571525,10.126572389256879,0.5717685839648835,7.053639468681522,9.396701391197752,0.5560241331988396,8.483809403812183,10.827864038269075,0.518430587721743,5.083929777145386,284,crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(256, 128, 64)",0.2,0.0005,0.001,adamw,plateau,128,gelu,smooth_l1,True,52,block2_mixed_feature_sets,1494,13,1,0,6.803911140794019,9.291973310175345,0.6394466881135124,7.212492772544302,9.314436419796293,0.5637638248760617,8.361444396972656,10.828778610786868,0.5183492330337405,9.722852945327759,476,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
