rank,country,area_km2,area_mi2,population,density_per_km2,density_per_mi2,date,population_source,country_norm
–,Turks and Caicos Islands (UK),497.0,192.0,37910,76.0,197.0,"July 1, 2016",Official estimate,turks and caicos islands (uk)
21,Tuvalu,26.0,10.0,10300,396.0,1026.0,"July 1, 2020",Annual projection,tuvalu
52,Uganda,241551.0,93263.0,40006700,166.0,430.0,"July 1, 2019",Annual official estimate,uganda
113,Ukraine,603000.0,232820.0,41902416,69.0,179.0,"January 1, 2020",Official monthly estimate,ukraine
71,United Arab Emirates,83600.0,32278.0,9770529,117.0,303.0,"July 1, 2019",UN projection,united arab emirates
32,United Kingdom,242910.0,93788.0,66435600,274.0,710.0,"July 1, 2018",Official estimate,united kingdom
145,United States,9833517.0,3796742.0,329470935,34.0,87.0,"March 18, 2020",Official population clock,united states
–,United States Virgin Islands (US),352.0,136.0,104909,298.0,772.0,"July 1, 2019",UN projection,united states virgin islands (us)
163,Uruguay[note 5],176215.0,68037.0,3518553,20.0,52.0,"June 30, 2019",Official annual projection,uruguay[note 5]
107,Uzbekistan,447400.0,172742.0,32653900,73.0,189.0,"January 1, 2018",Official estimate,uzbekistan
153,Vanuatu,12281.0,4742.0,304500,25.0,65.0,"July 1, 2018",Official estimate,vanuatu
3,Vatican City,0.44,0.17,1000,2273.0,5887.0,"July 1, 2017",Official estimate,vatican city
144,Venezuela,916445.0,353841.0,32219521,35.0,91.0,"July 1, 2019",Official annual projection,venezuela
30,Vietnam,331212.0,127882.0,96208984,290.0,751.0,"April 1, 2019",Official annual projection,vietnam
–,Wallis & Futuna (France),142.0,55.0,11600,82.0,212.0,"July 1, 2020",Annual projection,wallis & futuna (france)
–,Western Sahara,252120.0,97344.0,567421,2.3,6.0,"July 1, 2018",UN projection,western sahara
116,Yemen,455000.0,175676.0,28915284,64.0,166.0,"July 1, 2018",UN projection,yemen
160,Zambia,752612.0,290585.0,16405229,22.0,57.0,"July 1, 2017",Official annual projection,zambia
141,Zimbabwe,390757.0,150872.0,15159624,39.0,101.0,"July 1, 2019",Official annual projection,zimbabwe
–,Åland Islands (Finland),1552.0,599.0,29789,19.0,49.0,"December 31, 2018",Official estimate,åland islands (finland)
