run_id,model_label,model_family,feature_set_name,n_features,uses_current_city_crime_like_signal,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_rmse_std,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,rmse_overfit_gap,params_json,feature_list
2919,mlp__geo_knn_density__2919,mlp,geo_knn_density,28,0,9.199080709985985,11.858149164168399,0.3838604033198707,1.0404528758131126,5.551499592999127,7.405542275940751,0.7629106643390472,9.527507289324344,12.374159248749036,0.3710665286334398,4.968616972808285,"{""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city
199,knn__geo_only__0199,knn,geo_only,2,0,9.830142383963523,11.96867044224187,0.37305788265096596,1.0848486888063056,8.245201825201827,10.050941112111419,0.56327128717172,10.05782913165266,12.37463526651156,0.37101813920249005,2.323694154400142,"{""n_neighbors"": 7, ""p"": 2, ""weights"": ""uniform""}",lat | lon
946,mlp__geo_demo__0946,mlp,geo_demo,7,0,11.271423463055019,13.948670224719326,0.12256129964076694,1.7034411575696897,8.931096413124179,11.055606998046574,0.47159919217526736,10.129701772220692,12.375732160716172,0.3709066276919232,1.3201251626695978,"{""alpha"": 0.0005, ""batch_size"": 256, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.0007}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
812,mlp__geo_demo__0812,mlp,geo_demo,7,0,10.784345163020664,13.646153327996965,0.14841673690735838,3.098301717219051,8.013733578315012,10.015413137050235,0.5663533197065738,9.906913235846103,12.37616695610115,0.37086242316384443,2.360753819050915,"{""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [256, 128, 64], ""learning_rate_init"": 0.001}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
898,mlp__geo_demo__0898,mlp,geo_demo,7,0,10.834159931560695,13.487564859591561,0.17636250136189274,2.9090440240464597,8.754589966683955,10.742839001172428,0.5010736707880048,10.13880251930217,12.379345486392607,0.370539222992908,1.6365064852201794,"{""alpha"": 0.0005, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0007}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
144,hgb__geo_only__0144,hgb,geo_only,2,0,9.447298699810606,11.942267082217647,0.37916601070118733,1.1602365989659222,4.0910528744582155,5.378630130305089,0.8749333118912009,9.683603100786508,12.382127244513821,0.37025629941435756,7.0034971142087326,"{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": null, ""max_iter"": 400, ""min_samples_leaf"": 20}",lat | lon
1381,mlp__geo_macro__1381,mlp,geo_macro,11,0,9.887285966815153,12.322810131715709,0.34080577431639725,1.5124772292396245,8.955628613300929,11.103232075327341,0.4670369221559034,9.97085689468763,12.387191048119767,0.3697411132228491,1.2839589727924263,"{""alpha"": 0.0005, ""batch_size"": 64, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0003}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
1489,mlp__geo_macro__1489,mlp,geo_macro,11,0,9.86513483795973,12.306844116776213,0.3425133878068384,1.5277245572108291,8.956646413751452,11.103625020669451,0.46699919817367286,9.971658930824175,12.387527547377651,0.36970687066899477,1.2839025267082,"{""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0003}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
1273,mlp__geo_macro__1273,mlp,geo_macro,11,0,9.889398528874517,12.327118532995744,0.3403185770939895,1.5147695449481169,8.956696187419473,11.103615163176919,0.46700014454012184,9.97165091937958,12.387769522031501,0.36968224647327796,1.2841543588545825,"{""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0003}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
3134,mlp__geo_knn_density__3134,mlp,geo_knn_density,28,0,9.290462522272737,11.952529073860902,0.37326051947414196,0.8497388976464415,5.861525349560366,7.733013142417678,0.7414790249771952,9.670362496155205,12.38828105453277,0.36963018953541693,4.655267912115092,"{""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0007}",lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city
